task,trial,method,mae,rounding
weather_ordinal,1,MAS,0.105421,True
weather_ordinal,1,BAU,0.121987,True
weather_ordinal,1,SAD,0.082831,True
weather_ordinal,1,ORACLE,0.0180722,True
weather_ordinal,1,DEM,0.090361,True
weather_ordinal,1,RANDOM,0.176204,True
weather_ordinal,1,MAS_MERGE,0.093373,True
weather_ordinal,1,BAU_MERGE,0.099397,True
weather_ordinal,1,SAD_MERGE,0.084337,True
weather_ordinal,1,DEM_MERGE,0.093373,True
weather_ordinal,1,ORACLE_MERGE,0.036144,True
weather_ordinal,1,UNIFORM_MERGE,0.088855,True
weather_ordinal,2,MAS,0.108434,True
weather_ordinal,2,BAU,0.121988,True
weather_ordinal,2,SAD,0.082831,True
weather_ordinal,2,ORACLE,0.018072,True
weather_ordinal,2,DEM,0.084337,True
weather_ordinal,2,RANDOM,0.179217,True
weather_ordinal,2,MAS_MERGE,0.096386,True
weather_ordinal,2,BAU_MERGE,0.099398,True
weather_ordinal,2,SAD_MERGE,0.084337,True
weather_ordinal,2,DEM_MERGE,0.087349,True
weather_ordinal,2,ORACLE_MERGE,0.036145,True
weather_ordinal,2,UNIFORM_MERGE,0.088855,True
weather_ordinal,3,MAS,0.097891,True
weather_ordinal,3,BAU,0.121987,True
weather_ordinal,3,SAD,0.082831,True
weather_ordinal,3,ORACLE,0.0180722,True
weather_ordinal,3,DEM,0.087349,True
weather_ordinal,3,RANDOM,0.177710,True
weather_ordinal,3,MAS_MERGE,0.09638,True
weather_ordinal,3,BAU_MERGE,0.099397,True
weather_ordinal,3,SAD_MERGE,0.084337,True
weather_ordinal,3,DEM_MERGE,0.093373,True
weather_ordinal,3,ORACLE_MERGE,0.036144,True
weather_ordinal,3,UNIFORM_MERGE,0.088855,True
weather_ordinal,1,MAS,0.121987,False
weather_ordinal,1,BAU,0.121987,False
weather_ordinal,1,SAD,0.082831,False
weather_ordinal,1,ORACLE,0.0180722,False
weather_ordinal,1,DEM,0.088855,False
weather_ordinal,1,RANDOM,0.19277,False
weather_ordinal,1,MAS_MERGE,0.128256,False
weather_ordinal,1,BAU_MERGE,0.14741,False
weather_ordinal,1,SAD_MERGE,0.1292,False
weather_ordinal,1,DEM_MERGE,0.117842,False
weather_ordinal,1,ORACLE_MERGE,0.092117,False
weather_ordinal,1,UNIFORM_MERGE,0.164147,False
weather_ordinal,2,MAS,0.103915,False
weather_ordinal,2,BAU,0.121987,False
weather_ordinal,2,SAD,0.082831,False
weather_ordinal,2,ORACLE,0.0180722,False
weather_ordinal,2,DEM,0.088855,False
weather_ordinal,2,RANDOM,0.179216,False
weather_ordinal,2,MAS_MERGE,0.123459,False
weather_ordinal,2,BAU_MERGE,0.14741,False
weather_ordinal,2,SAD_MERGE,0.1292,False
weather_ordinal,2,DEM_MERGE,0.117850,False
weather_ordinal,2,ORACLE_MERGE,0.092117,False
weather_ordinal,2,UNIFORM_MERGE,0.164147,False
weather_ordinal,3,MAS,0.115963,False
weather_ordinal,3,BAU,0.121987,False
weather_ordinal,3,SAD,0.082831,False
weather_ordinal,3,ORACLE,0.0180722,False
weather_ordinal,3,DEM,0.081325,False
weather_ordinal,3,RANDOM,0.20331,False
weather_ordinal,3,MAS_MERGE,0.119908,False
weather_ordinal,3,BAU_MERGE,0.14741,False
weather_ordinal,3,SAD_MERGE,0.1292,False
weather_ordinal,3,DEM_MERGE,0.11443,False
weather_ordinal,3,ORACLE_MERGE,0.092117,False
weather_ordinal,3,UNIFORM_MERGE,0.164147,False
