task,mae,mse
emotion,13.954285714285714,478.4057142857143
similarity,3.5923333333333334,17.515596666666664
population,4610.044481981982,257710345.93421546
similarity,3.5923,17.5156
similarity,3.5923,17.5156
similarity,3.5923,17.5156
similarity,1.1524999999999999,2.1658124999999995
similarity,1.1524999999999999,2.1658124999999995
similarity,1.1524999999999999,2.1658124999999995
similarity,1.1524999999999999,2.1658124999999995
similarity,1.1524999999999999,2.1658124999999995
similarity,1.1524999999999999,2.1658124999999995
